Feature	Variable Importance
TEAD1_MA0090.2	0.000141333
RELB_MA1117.1	0.000133303
LBX2_MA0699.1	0.000133266
E2F1_MA0024.2	0.000132839
SOX9_MA0077.1	0.000128844
HOXC10_MA0905.1	0.000124128
CREB1_MA0018.2	0.000119552
NR4A2_MA0160.1	0.000118748
NEUROD1_MA1109.1	0.000113997
H3K4me3	0.000111922
NKX3.2_MA0122.2	0.000107405
SPI1_MA0080.2	0.000107103
TFE3_MA0831.2	0.000106558
NKX2.3_MA0672.1	0.000103764
PAX4_MA0068.2	0.000102383
HMBOX1_MA0895.1	0.000102039
GBX2_MA0890.1	9.37E-05
TBX15_MA0803.1	9.35E-05
GATA2_MA0036.3	9.03E-05
TBX1_MA0805.1	8.57E-05
EN2_MA0642.1	8.29E-05
FOSL1::JUND_MA1142.1	8.22E-05
MGA_MA0801.1	8.13E-05
HOXB13_MA0901.1	7.97E-05
VENTX_MA0724.1	7.93E-05
MEOX1_MA0661.1	7.55E-05
SREBF1_MA0595.1	7.55E-05
CEBPA_MA0102.3	7.37E-05
H3K9ac	7.19E-05
FOXK2_MA1103.1	6.79E-05
POU3F4_MA0789.1	6.59E-05
ELK1_MA0028.1	6.38E-05
GATA3_MA0037.2	6.24E-05
DMRT3_MA0610.1	6.19E-05
CUX1_MA0754.1	5.98E-05
NRL_MA0842.1	5.88E-05
KLF16_MA0741.1	5.79E-05
POU2F2_MA0507.1	5.78E-05
CEBPB_MA0466.1	5.64E-05
H3K9me3	5.61E-05
H3K9me1	5.56E-05
FOXA1_MA0148.2	5.53E-05
FOS_MA0476.1	5.41E-05
MEF2A_MA0052.1	5.33E-05
RUNX1_MA0002.1	5.24E-05
SREBF2_MA0596.1	5.23E-05
NEUROD2_MA0668.1	5.15E-05
FOXA1_MA0148.1	5.13E-05
HIF1A_MA1106.1	5.07E-05
GSC_MA0648.1	5.07E-05
ASCL1_MA1100.1	5.06E-05
STAT3_MA0144.2	4.98E-05
NFIC_MA0161.2	4.88E-05
NFIL3_MA0025.1	4.83E-05
GSC2_MA0891.1	4.65E-05
POU6F2_MA0793.1	4.44E-05
TFAP2A_MA0003.3	4.44E-05
E2F4_MA0470.1	4.39E-05
USF1_MA0093.1	4.37E-05
STAT1_MA0137.3	4.34E-05
RORB_MA1150.1	4.32E-05
PRDM1_MA0508.2	3.99E-05
NR1H4_MA1110.1	3.96E-05
FOXB1_MA0845.1	3.95E-05
NR2F2_MA1111.1	3.91E-05
LHX6_MA0658.1	3.90E-05
POU3F1_MA0786.1	3.89E-05
FOXP2_MA0593.1	3.76E-05
TFAP2C(var.2)_MA0814.1	3.75E-05
RUNX3_MA0684.1	3.72E-05
TFAP2C_MA0524.1	3.63E-05
TFAP2A(var.2)_MA0810.1	3.59E-05
FOXH1_MA0479.1	3.40E-05
MAX_MA0058.2	3.28E-05
NFYA_MA0060.3	3.25E-05
MNT_MA0825.1	3.17E-05
RUNX2_MA0511.2	3.03E-05
DBP_MA0639.1	2.98E-05
FOSL1_MA0477.1	2.97E-05
PHOX2A_MA0713.1	2.87E-05
REL_MA0101.1	2.81E-05
HLF_MA0043.2	2.80E-05
TWIST1_MA1123.1	2.78E-05
FOSL2::JUNB_MA1138.1	2.73E-05
JUN::JUNB_MA1132.1	2.66E-05
USF2_MA0526.1	2.55E-05
BHLHE22_MA0818.1	2.54E-05
FLI1_MA0475.1	2.46E-05
EMX2_MA0886.1	2.44E-05
OLIG3_MA0827.1	2.44E-05
ZNF740_MA0753.1	2.40E-05
NHLH1_MA0048.2	2.36E-05
